ABN	Latitude	Longitude	Aged_Care_Activities	Aged_Persons	Aboriginal_or_TSI	People_at_risk_of_homelessness	Charity_Name
12622998386	-34.330758497999625	150.9101519800006	Y	Y	Y		Northern Illawarra Meals On Wheels Inc
12624115927	-33.869599972999595	151.20695930500062					The Trustee For The Hart Family Perpetual Trust
12655328327	-33.823852527999634	151.2027579450006					St Leonards Japanese Congregation of Jehovah's Witnesses
12655908104	-30.888097087999597	153.04184604600061			Y		The Anglican Parish Of The Lower Macleay
12657547975	-33.86869100999962	151.03365641600055					Uca - Parish Of Auburn
12660109104	-33.86493440499959	151.21266731300057					The Trustee For The ARA Research Trust
12674692727	-32.932009635999634	148.60907937200056		Y			Cumnock Show Society Incorporated
12681013870	-33.77880993599962	151.1950191150006					Roseville P & C Kids Care Association
12686376167	-28.823353956999597	153.3284646470006					Goonellabah Congregation of Jehovah's Witnesses
12692681742	-31.825546008999595	149.71787422300054		Y			Coolah District Development Group Incorporated
12694089667	-34.48769062899959	150.42224784100063					Dadirri Incorporated
12699104993	-29.693192874999625	152.9317547450006		Y	Y		Clarence Valley Christian Broadcasters Incorporate
12701325101	-33.610707273999594	150.81594901800054					Windsor Public School P&C Association
12701325246	-32.9272630519996	151.77775673100064					The trustee for WEA Hunter Foundation
12705500532	-33.7468632059996	150.83422741600054		Y	Y	Y	Catholic Parish Of The Good Shepherd Plumpton
12705508626	-36.077555985999595	146.91626272800056		Y		Y	Christian Fellowship Centre Albury
12709300771	-36.23827518399963	149.12611182000057					Trustees Of The Roman Catholic Church For The Archdiocese Of Canberra And Goulburn As Trustee For The Catholic Parish Of Cooma
12709974739	-34.552025438999635	150.85698436700056	Y	Y	Y	Y	Warilla Neighbourhood Centre Inc
12713091317	-33.844680368999605	150.93640357400056		Y			Wentworthville Gospel Trust
12714894393	-35.920494133999625	150.0762380600006					Community Workshed Incorporation
12726198753	-28.801208223999595	153.2990831030006			Y		Kids In Community Incorporated
12726907859	-34.08631120899963	151.14985689700063					Bundeena Pre School
12738533725	-33.82778261499959	151.19393054500063					Australian Endocrine Surgeons
12739130927	-33.82778261499959	151.19393054500063					Joey's Before And After School Care Inc
12742911570	-33.779089752999596	150.8965494110006		Y			The Prospect Heritage Trust Incorporated
12743810800	-33.86378679699959	151.00923176500055					Al Noor Islamic Association
12748977994	-33.869599972999595	151.20695930500062					The Trustee For The Anne Maree And Bernard Myles Quinn Memorial Trust Fund
12753549375	-32.895419755999626	151.73842982300062					Baptist Church Mayfield
12753908416	-32.895419755999626	151.73842982300062					International Christian Church In Newcastle 
12756046044	-33.59606656699958	150.74754517600059		Y	Y	Y	Hawkesbury Area Womens & Kids Services Collective
12756099897	-33.871239238999635	148.10318996200056					Grenfell RSL sub-Branch (RSL NSW)
12761020718	-32.72363246499958	151.74778423200064		Y			Uca - Raymond Terrace
12763399779	-33.800369716999626	151.06068889000062		Y			Strathfield-Dundas Gospel Trust
